,VIX,S&P500,VBMFX,VFINX
1990-04-11,17.729999542236328,370.489990234375,2.016512870788574,17.21698760986328
1990-04-12,19.799999237060547,373.1400146484375,2.0143120288848877,17.343748092651367
1990-04-16,20.75,373.6099853515625,2.0121095180511475,17.359580993652344
1990-04-17,20.3799991607666,373.54998779296875,2.005504846572876,17.359580993652344
1990-04-18,22.670000076293945,369.2799987792969,1.9989010095596313,17.16417694091797
1990-04-19,22.459999084472656,366.42999267578125,1.9944977760314941,17.026865005493164
1990-04-20,23.329999923706055,363.2200012207031,1.9922962188720703,16.87898826599121
1990-04-23,24.15999984741211,358.8500061035156,1.9878946542739868,16.67830467224121
1990-04-24,21.700000762939453,358.1300048828125,1.9856926202774048,16.64661407470703
1990-04-25,20.860000610351562,359.9800109863281,1.9834918975830078,16.73639488220215
1990-04-26,20.25,361.0,1.9790900945663452,16.778644561767578
