,VIX,S&P500,VBMFX,VFINX
2019-11-20,12.779999732971191,6292.169921875,10.850960731506348,282.6440734863281
2019-11-21,13.130000114440918,6282.58984375,10.841185569763184,282.22149658203125
2019-11-22,12.34000015258789,6296.33984375,10.841185569763184,282.840576171875
2019-11-25,11.869999885559082,6344.35986328125,10.841185569763184,284.9927062988281
2019-11-26,11.539999961853027,6358.4599609375,10.860737800598145,285.6216125488281
2019-11-27,11.75,6385.759765625,10.841185569763184,286.85003662109375
2019-11-29,12.619999885559082,6361.56005859375,10.863716125488281,285.7592468261719
2019-12-02,14.90999984741211,6306.8798828125,10.834329605102539,283.3024597167969
2019-12-03,15.960000038146973,6265.22021484375,10.893102645874023,281.4255065917969
2019-12-04,14.800000190734863,6305.490234375,10.873513221740723,283.2336730957031
2019-12-05,14.520000457763672,6316.68994140625,10.853919982910156,283.73486328125
2019-12-06,13.619999885559082,6374.7001953125,10.844123840332031,286.3390197753906
2019-12-09,15.859999656677246,6355.06982421875,10.844123840332031,285.45458984375
2019-12-10,15.680000305175781,6348.31005859375,10.844123840332031,285.1597595214844
2019-12-11,14.989999771118164,6366.83984375,10.863716125488281,285.9851989746094
2019-12-12,13.9399995803833,6422.35009765625,10.814736366271973,288.4812927246094
2019-12-13,12.630000114440918,6423.93017578125,10.863716125488281,288.550048828125
2019-12-16,12.140000343322754,6470.02978515625,10.834329605102539,290.6137390136719
2019-12-17,12.289999961853027,6472.240234375,10.834329605102539,290.71197509765625
2019-12-18,12.579999923706055,6470.0,10.814736366271973,290.6137390136719
2019-12-19,12.5,6499.259765625,10.824532508850098,291.92071533203125
2019-12-20,12.510000228881836,6531.75,10.824532508850098,293.38677978515625
2019-12-23,12.609999656677246,6537.39990234375,10.814736366271973,293.63360595703125
2019-12-24,12.670000076293945,6536.580078125,10.824532508850098,293.6039733886719
2019-12-26,12.649999618530273,6570.7099609375,10.834329605102539,295.13421630859375
2019-12-27,13.430000305175781,6571.02978515625,10.844123840332031,295.14404296875
2019-12-30,14.819999694824219,6533.91015625,10.844123840332031,293.47564697265625
2019-12-31,13.779999732971191,6553.56982421875,10.848050117492676,294.3542785644531
2020-01-02,12.470000267028809,6609.2900390625,10.877503395080566,296.85198974609375
2020-01-03,14.020000457763672,6563.31982421875,10.916770935058594,294.7886657714844
2020-01-06,13.850000381469727,6586.5400390625,10.90695571899414,295.82525634765625
2020-01-07,13.789999961853027,6568.740234375,10.887320518493652,295.0256042480469
2020-01-08,13.449999809265137,6601.14990234375,10.86768627166748,296.4866943359375
2020-01-09,12.539999961853027,6646.83984375,10.877503395080566,298.5303039550781
2020-01-10,12.5600004196167,6627.8701171875,10.897139549255371,297.6812438964844
2020-01-13,12.319999694824219,6674.1298828125,10.887320518493652,299.75445556640625
2020-01-14,12.390000343322754,6664.66015625,10.90695571899414,299.3299560546875
2020-01-15,12.420000076293945,6677.25,10.916770935058594,299.89263916015625
2020-01-16,12.319999694824219,6733.35009765625,10.90695571899414,302.4101257324219
2020-01-17,12.100000381469727,6759.509765625,10.897139549255371,303.5849304199219
2020-01-21,12.850000381469727,6741.7099609375,10.926589012145996,302.7852783203125
2020-01-22,12.90999984741211,6743.89990234375,10.936408042907715,302.88397216796875
2020-01-23,12.979999542236328,6752.08984375,10.95604133605957,303.2492980957031
2020-01-24,14.5600004196167,6691.22021484375,10.975676536560059,300.5146179199219
2020-01-27,18.229999542236328,6585.9501953125,11.014944076538086,295.7759094238281
2020-01-28,16.280000686645508,6652.2998046875,10.99531078338623,298.7573547363281
2020-01-29,16.389999389648438,6646.68994140625,11.024760246276855,298.5105285644531
2020-01-30,15.489999771118164,6668.52001953125,11.024760246276855,299.4878845214844
